ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,municipality,icao_code,iata_code
UUBQ,small_airport,Sharya Airport,58.39282,45.554381,120,RU,Sharya,UUBQ,
UUBS,small_airport,Smolensk South Airport,54.745,32.065,820,RU,Smolensk,UUBS,
UUBW,large_airport,Zhukovsky International Airport,55.553299,38.150002,377,RU,Moscow,UUBW,ZIA
UUDD,large_airport,Domodedovo International Airport,55.408798,37.9063,588,RU,Moscow,UUDD,DME
UUDL,large_airport,Golden Ring Yaroslavl International Airport,57.560699,40.157398,287,RU,Tunoshna,UUDL,IAR
UUEE,large_airport,Sheremetyevo International Airport,55.976858,37.41121,622,RU,Moscow,UUEE,SVO
UUEM,medium_airport,Migalovo Air Base,56.82469940185547,35.7577018737793,469,RU,Tver,UUEM,KLD
UUMU,medium_airport,Chkalovskiy Air Base,55.8783,38.061699,499,RU,Moscow,UUMU,CKL
UUOB,medium_airport,Belgorod International Airport,50.643798828125,36.5900993347168,735,RU,Belgorod,UUOB,EGO
UUOK,medium_airport,Kursk East Airport,51.7505989074707,36.29560089111328,686,RU,Kursk,UUOK,URS
UUOL,medium_airport,Lipetsk Airport,52.70280075073242,39.53779983520508,584,RU,Lipetsk,UUOL,LPK
UUOO,medium_airport,Voronezh International Airport,51.814324,39.230948,514,RU,Voronezh,UUOO,VOZ
UUOT,medium_airport,Donskoye Airport,52.806099,41.4828,413,RU,Tambov,UUOT,TBW
UUWW,large_airport,Vnukovo International Airport,55.591499,37.261501,685,RU,Moscow,UUWW,VKO
UUYH,medium_airport,Ukhta Airport,63.566898,53.804699,482,RU,Ukhta,UUYH,UCT
UUYI,medium_airport,Inta Airport,66.053372,60.105786,184,RU,Inta,UUYI,INA
UUYP,medium_airport,Pechora Airport,65.121101,57.130798,98,RU,Pechora,UUYP,PEX
UUYS,medium_airport,Usinsk Airport,66.0047,57.367199,262,RU,Usinsk,UUYS,USK
UUYW,medium_airport,Vorkuta Airport,67.488602,63.993099,604,RU,Vorkuta,UUYW,VKT
UUYX,medium_airport,Ust-Tsylma Airport,65.437294,52.200336,262,RU,Ust-Tsylma,UUYX,UTS
